year,return
1928,38.8822197
1929,-10.9096509
1930,-27.4848485
1931,-46.0664928
1932,-13.7783251
1933,45.0751445
1934,-3.7141424
1935,42.3684211
1936,28.9225614
1937,-37.5913853
1938,25.549763
1939,-4.1750381
1940,-14.0882825
1941,-16.8638941
1942,13.4280783
1943,20.4472876
1944,14.7960583
1945,31.7228916
1946,-10.8663594
1947,1
1948,0.3464052
1949,11.4605263
1950,22.6795712
1951,17.3485071
1952,12.7795541
1953,-5.624012
1954,46.0221685
1955,27.4035575
1956,3.6165347
1957,-13.3132633
1958,39.0595149
1959,9.4767252
1960,-1.9721155
1961,24.1285493
1962,-10.8099231
1963,19.8906498
1964,13.9698747
1965,10.0619469
1966,-12.0909878
1967,21.09212
1968,8.6604126
1969,-10.3614481
1970,1.0977623
1971,11.7867607
1972,16.6332648
1973,-16.3655231
1974,-28.7180933
1975,32.5490082
1976,20.1484644
1977,-10.5019542
1978,2.06204
1979,13.3088128
1980,26.7735779
1981,-8.7304066
1982,15.7613219
1983,18.2710466
1984,2.4005942
1985,27.3334131
1986,15.6204089
1987,3.0275013
1988,13.4008418
1989,28.2504681
1990,-5.5591398
1991,27.3067046
1992,5.4642643
1993,8.0551514
1994,-0.5392861
1995,35.1106539
1996,21.2636663
1997,32.008181
1998,27.6685902
1999,20.5260448
2000,-9.1391867
2001,-12.0419305
2002,-22.366635
2003,27.3792594
2004,9.994433
2005,4.0010232
2006,14.6194314
2007,4.5295777
2008,-37.4857937
2009,24.4541932
2010,13.7827101
2011,0.9968194
2012,14.4056934
2013,30.6012453
2014,12.3906382
2015,1.38
